Country,BigMacPrice,NetHourlyWage
Argentina,1.78,3.3
Australia,3.84,14
Brazil,4.91,4.3
Britain,3.48,13.9
Canada,4,12.8
Chile,3.34,3.1
China,1.95,3
Czech Republic,3.43,5.1
Denmark,4.9,17.7
Hungary,3.33,3
Indonesia,2.51,1.3
Japan,3.67,15.7
Malaysia,2.19,3.1
Mexico,2.5,1.8
New Zealand,3.59,8.4
Philippines,2.19,1.4
Poland,2.6,4.1
Russia,2.33,5.9
Singapore,3.08,5.9
South Africa,2.45,5.1
South Korea,2.82,6.1
Sweden,6.56,13.5
Switzerland,6.19,22.6
Thailand,2.17,2.6
Turkey,3.89,4.3
UAE,2.99,10.1
United States,3.73,16.5
