Id,Model,Price,Age_06_15
1,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,57
2,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13750,57
3, TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13950,58
4,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,14950,60
5,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13750,64
6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,12950,66
7, TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,16900,61
8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,18600,64
9, TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,21500,61
10, TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,12950,57
11,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,20950,59
12,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,19950,56
13,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,19600,59
14,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21500,65
15,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22500,66
16,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,62
17, TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,64
18, TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,58
19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16750,58
20,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,64
21, TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,64
22,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,63
23,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,62
24, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,62
25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,63
26,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,59
27, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,61
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,63
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,62
30,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,64
31, TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,63
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,56
33,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,61
34, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,60
35, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,56
36,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,60
37,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,59
38,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,57
39,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,66
40, TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,61
41, TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,56
42,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,61
43,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,56
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,61
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,56
46, TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,19000,57
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,61
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,56
49, TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,56
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,65
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,56
52, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,64
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,60
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,61
55, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,59
56, TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,66
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,62
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,60
59, TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,57
60, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,64
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,56
62, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,61
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,65
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,64
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,61
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,60
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,62
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,56
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22250,56
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,59
71, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,62
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,66
73, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,62
74, TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,57
75, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,62
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,57
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,65
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,61
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,63
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,64
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,59
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,63
83, TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,59
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,65
85, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,59
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,62
87, TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,64
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,54
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,53
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,21950,53
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,54
92, TOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,54
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,50
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,54
