CustomerID,City,NoOfChildren,MinAgeOfChild,MaxAgeOfChild,Tenure,FrquncyOfPurchase,NoOfUnitsPurchased,FrequencyOFPlay,NoOfGamesPlayed,NoOfGamesBought,FavoriteChannelOfTransaction,FavoriteGame,TotalRevenueGenerated
1001,1,2,3,8,210,11,11,2344,108,10,Uniform,Uniform,107.51
1002,1,2,3,6,442,20,20,245,22,7,Favorite,Uniform,382.4
1003,1,4,3,5,424,18,18,1059,130,18,Favorite,Uniform,135.01
1004,1,1,6,6,261,11,9,365,34,11,Favorite,Uniform,125
1005,1,3,6,9,422,44,31,1066,102,44,Uniform,Uniform,335.05
1006,1,2,3,4,378,16,16,228,12,16,Favorite,Favorite,150
1007,1,3,8,12,369,25,15,75,2,25,Favorite,Favorite,127.5
1008,1,2,6,8,404,13,12,1488,118,13,Favorite,Uniform,122.5
1009,1,4,6,9,420,20,16,2743,163,16,Uniform,Uniform,164.96
1010,2,3,5,6,333,15,15,1967,56,15,Favorite,Uniform,112.62
1011,1,1,5,5,323,9,9,218,1,3,Favorite,Favorite,211.92
1012,1,3,4,9,167,17,17,1961,124,17,Uniform,Uniform,125.04
1013,1,1,4,4,381,15,15,267,51,15,Favorite,Uniform,167.5
1014,1,4,5,7,399,36,24,6411,355,36,Favorite,Uniform,202.5
1015,1,2,4,7,444,14,14,2804,133,14,Uniform,Uniform,105.5
1016,1,2,3,5,371,6,6,1746,61,6,Favorite,Uniform,117.5
1017,1,1,6,6,355,11,11,1367,49,11,Favorite,Uniform,175
1018,1,1,7,7,346,18,16,1029,106,14,Uniform,Uniform,181.71
1019,1,2,6,7,211,7,7,428,26,0,Favorite,Uniform,144.93
1020,1,2,4,7,278,12,12,1080,49,8,Uniform,Uniform,182.36
1021,1,3,4,10,448,6,6,1016,56,6,Favorite,Uniform,100
1022,1,2,3,6,447,14,14,1617,58,11,Favorite,Uniform,199.93
1023,1,1,8,8,471,18,18,2131,67,18,Favorite,Uniform,172.5
1024,1,1,4,4,189,22,18,267,33,12,Favorite,Uniform,348.09
1025,1,2,5,7,427,16,16,3781,288,16,Favorite,Uniform,185.02
1026,1,2,5,8,351,5,5,182,26,3,Favorite,Uniform,139.99
1027,1,2,6,6,453,12,10,4036,146,12,Uniform,Uniform,135
1028,1,4,3,7,418,51,41,2947,241,51,Uniform,Uniform,388.01
1029,1,3,3,13,424,17,17,1606,132,17,Favorite,Uniform,152.51
1030,1,5,2,7,444,26,26,7766,583,26,Favorite,Uniform,205.01
1031,1,1,7,7,126,8,8,515,21,8,Favorite,Uniform,100
1032,1,1,7,7,290,9,9,1233,82,8,Favorite,Uniform,144.99
1033,1,4,3,7,448,20,10,4788,370,20,Uniform,Uniform,117.5
1034,1,2,4,6,181,14,14,221,19,14,Favorite,Uniform,125
1035,1,1,5,5,392,20,17,1065,161,19,Favorite,Uniform,159.97
1036,1,2,5,6,322,13,13,1911,171,13,Uniform,Uniform,102.53
1037,1,2,4,7,444,17,16,6519,425,12,Favorite,Uniform,172.95
1038,1,1,6,6,314,10,10,154,19,10,Favorite,Uniform,127.5
1039,1,2,3,6,378,23,22,4183,169,23,Uniform,Uniform,182.5
1040,1,3,3,6,392,12,12,127,18,5,Favorite,Uniform,215.98
1041,1,1,6,6,321,14,10,555,48,11,Uniform,Favorite,106.73
1042,1,2,4,7,379,16,11,123,19,16,Favorite,Uniform,107.5
1043,1,1,6,6,365,29,29,849,62,28,Favorite,Uniform,260.9
1044,1,4,5,9,382,12,12,1656,140,12,Favorite,Uniform,120.01
1045,1,1,5,5,338,6,6,54,16,4,Uniform,Uniform,140
1046,1,1,7,7,437,28,18,357,85,28,Favorite,Uniform,182.5
1047,1,2,3,6,435,23,23,865,48,23,Favorite,Uniform,281.25
1048,1,3,6,10,410,36,26,4481,183,36,Favorite,Uniform,275
1049,1,2,6,8,447,14,11,2379,106,14,Favorite,Uniform,102.5
1050,1,4,5,9,387,19,15,1712,84,15,Favorite,Uniform,254.99
1051,2,1,6,6,363,15,11,1693,32,15,Favorite,Uniform,117.71
1052,1,4,3,13,411,16,16,608,29,16,Favorite,Uniform,122.25
1053,1,3,5,11,357,3,3,356,13,2,Favorite,Favorite,149.99
1054,1,2,3,6,435,12,9,4385,104,12,Uniform,Uniform,102.5
1055,2,1,7,7,466,16,16,925,50,16,Favorite,Uniform,206.05
1056,2,2,4,7,368,13,13,398,30,13,Favorite,Uniform,200.8
1057,1,2,4,6,364,19,14,1179,123,16,Uniform,Uniform,139.48
1058,1,2,3,7,368,1,1,159,25,0,Favorite,Uniform,129.99
1059,1,4,5,12,384,12,12,527,36,12,Favorite,Uniform,107.5
1060,1,3,5,9,377,41,40,3648,298,41,Favorite,Uniform,496
1061,1,1,6,6,379,7,7,266,27,5,Uniform,Uniform,167.48
1062,1,3,5,7,419,18,17,3866,156,11,Favorite,Uniform,414.15
1063,1,7,5,20,428,25,20,1985,217,25,Favorite,Uniform,181.5
1064,1,2,2,5,427,15,15,356,51,15,Favorite,Uniform,102.5
1065,1,3,1,6,378,13,12,911,30,9,Favorite,Uniform,130.44
1066,2,2,3,5,384,19,16,1915,74,19,Favorite,Uniform,147.19
1067,2,1,5,5,398,12,12,240,37,12,Favorite,Uniform,116.11
1068,2,2,4,6,439,8,8,1628,110,8,Favorite,Uniform,113.45
1069,2,3,3,7,413,14,14,1324,140,14,Favorite,Uniform,115.57
1070,2,2,6,12,430,13,13,675,60,13,Favorite,Uniform,127.63
1071,2,4,5,9,346,12,12,1339,75,12,Favorite,Uniform,106.63
1072,2,2,2,5,434,15,15,1085,116,15,Favorite,Uniform,142.63
1073,2,2,5,7,406,9,9,1096,171,9,Favorite,Uniform,143.32
1074,2,2,3,6,369,7,7,805,67,7,Favorite,Uniform,103.83
1075,2,2,4,5,273,14,14,107,16,14,Favorite,Uniform,195.3
1076,2,3,6,8,379,14,14,2750,121,14,Uniform,Uniform,129.01
1077,2,2,4,5,411,13,13,1588,78,13,Favorite,Uniform,135.2
1078,2,3,5,20,320,20,16,2458,129,20,Uniform,Uniform,192.01
1079,2,1,5,5,376,7,7,7259,84,7,Favorite,Uniform,105.09
1080,2,2,3,6,460,15,14,3885,96,15,Favorite,Uniform,156.69
1081,2,2,5,7,345,12,12,568,27,12,Favorite,Uniform,114.45
1082,2,1,15,15,173,17,17,402,16,17,Favorite,Uniform,317.64
1083,2,1,5,5,239,11,11,475,47,11,Favorite,Uniform,145.09
1084,2,2,4,7,194,19,19,1248,59,19,Favorite,Uniform,142.12
1085,2,2,3,5,368,6,6,334,16,6,Favorite,Uniform,108.59
1086,2,2,6,8,372,17,17,3701,153,17,Favorite,Uniform,258.48
1087,2,1,7,7,363,9,9,331,31,9,Favorite,Uniform,108.34
1088,2,1,6,6,307,9,9,1091,44,9,Favorite,Uniform,103.9
1089,2,1,4,4,230,13,13,756,92,13,Favorite,Uniform,129.02
1090,2,2,5,7,299,10,9,1080,90,10,Uniform,Uniform,108.08
1091,2,3,1,5,454,19,11,41,7,19,Favorite,Uniform,128.11
1092,2,1,5,5,399,11,11,321,45,11,Favorite,Favorite,105.83
1093,2,2,3,6,459,6,6,340,47,6,Favorite,Uniform,113.77
1094,2,2,4,6,231,14,14,344,70,14,Favorite,Uniform,113.34
1095,2,2,6,10,195,10,10,338,52,10,Favorite,Uniform,134.45
1096,2,2,6,7,455,8,8,3389,202,8,Favorite,Uniform,124.41
1097,2,1,8,8,397,13,13,682,41,13,Favorite,Uniform,101.24
1098,2,2,6,6,395,15,14,1301,97,15,Favorite,Uniform,201.33
1099,2,1,5,5,467,14,14,1886,33,14,Favorite,Uniform,179.25
