WorldOil,USEnergy,USAutoFuelRate,USNuclear,USCoal,USDryGas
55.7,74.3,13.4,83.5,598.6,21.7
55.7,72.5,13.6,114,610,20.7
52.8,70.5,14,172.5,654.6,19.2
57.3,74.4,13.8,191.1,684.9,19.1
59.7,76.3,14.1,250.9,697.2,19.2
60.2,78.1,14.3,276.4,670.2,19.1
62.7,78.9,14.6,255.2,781.1,19.7
59.6,76,16,251.1,829.7,19.4
56.1,74,16.5,272.7,823.8,19.2
53.5,70.8,16.9,282.8,838.1,17.8
53.3,70.5,17.1,293.7,782.1,16.1
54.5,74.1,17.4,327.6,895.9,17.5
54,74,17.5,383.7,883.6,16.5
56.2,74.3,17.4,414,890.3,16.1
56.7,76.9,18,455.3,918.8,16.6
58.7,80.2,18.8,527,950.3,17.1
59.9,81.4,19,529.4,980.7,17.3
60.6,81.3,20.3,576.9,1029.1,17.8
60.2,81.1,21.2,612.6,996,17.7
60.2,82.2,21,618.8,997.5,17.8
60.2,83.9,20.6,610.3,945.4,18.1
61,85.6,20.8,640.4,1033.5,18.8
62.3,87.2,21.1,673.4,1033,18.6
64.1,90,21.2,674.7,1063.9,18.8
66.3,90.6,21.5,628.6,1089.9,18.9
67,89.7,21.6,666.8,1109.8,18.9
